tcn_plus_fusion_ms
1.9742
1.3705
1.3117
1.2880
1.2856
1.2698
1.2648
1.2674
1.2795
1.2677
1.2601
1.2577
1.3019
1.2500
1.2552
1.2619
1.2538
1.2725
1.2258
1.6543
1.3552
1.3809
1.3435
1.2996
1.3153
1.2749
1.2705
1.2601
1.3464
1.2718
2.5951
1.4102
1.2780
1.2443
1.3095
1.2569
1.3144
1.3948
1.2919
1.2491
1.3400
1.2528
1.2602
1.2462
1.2415
1.3380
1.3681
1.4707
1.2203
1.2389
1.2765
1.2236
1.2524
1.2753
1.2814
1.2812
1.2608
1.2903
1.2270
1.2477
1.2650
1.2601
1.2283
1.3421
1.2355
1.4550
1.6087
1.3154
1.2393
1.2635
1.2684
1.2506
1.2261
1.2188
1.5544
1.4666
1.2684
1.2476
1.2273
1.2277
1.2327
1.2660
1.2268
1.2485
1.3293
1.5408
1.5166
1.3712
1.3118
1.3114
1.2985
1.3532
1.2566
1.3144
1.2670
1.3095
1.3501
1.4524
1.4510
1.5020
1.4506
1.5394
1.4636
1.3898
1.2932
1.2565
1.2411
1.2421
1.2599
1.2597
1.3010
1.4247
1.2789
1.2445
1.2281
1.2223
1.2304
1.2351
1.2173
1.2141
1.2738
1.4862
1.4459
1.3150
1.2657
1.2512
1.2352
1.2209
1.2752
1.2427
1.2217
1.2229
1.2247
1.2214
1.2614
1.2592
1.2429
1.2418
1.2099
1.2158
1.2438
1.2139
1.2270
1.2252
1.2165
1.2389
1.2628
1.2388
1.2589
1.2160
1.2182
1.2296
1.2230
1.2252
1.2263
1.2102
1.2358
1.2481
1.2704
1.2621
1.2111
1.2178
1.2170
1.2178
2.4503
1.2388
1.2550
1.2449
1.2353
1.2374
1.2275
1.2265
1.2175
1.2403
1.2496
1.2467
1.2056
1.2120
1.2595
1.2254
1.2294
1.2210
1.5044
1.2270
1.2171
1.2346
1.2850
1.2716
1.2502
1.2068
1.2205
1.2312
1.2285
1.2214
1.2313
1.2356
1.2242
1.2491
1.2375
1.2616
1.2510
1.2225
1.2181
1.2092
1.2152
1.2229
1.2306
1.2184
1.2618
1.2535
1.2563
1.2373
1.2130
1.2507
1.2270
1.2146
1.2093
1.2280
1.2245
1.2618
1.2437
1.2373
1.2269
1.2128
1.2202
1.2285
1.2342
1.2189
1.2139
1.2263
1.2578
1.2610
1.2601
1.2388
1.2058
1.2177
1.2268
1.2133
1.2243
1.2102
1.2125
1.2346
1.2419
1.2476
1.2267
1.2201
1.2165
1.2335
1.2171
1.2294
1.2148
1.2247
1.2613
1.2741
1.2405
1.2170
1.2237
1.2697
1.2244
1.2509
1.2203
1.2142
1.2089
1.2453
1.2269
1.2803
1.2442
1.2173
1.2143
1.2236
