t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
240.87,0.950638627579486,0.950638627497101,0.950638627608376,67.1480036709266,67.1480036709266,25.6941198383224,7.78724742770677,36.8452054428232,22.5155508003966,0,1,1.00000989421335,0,0,0.0581104574003447,8.28074017954913
240.88,0.951244579920866,0.951244579844184,0.951244579954642,68.8010242413477,68.8010242413477,26.2422814407902,9.38285679096244,36.8739706772123,22.5441967731729,0,1,0.999761944769964,0,0,0.0628075848384826,8.95008083948377
240.89,0.95184403483837,0.951844034764613,0.951844034872011,67.7917087224427,67.7917087224427,25.9153179535847,8.31678821624445,36.9023954825196,22.5725250236787,0,1,1.00001379362152,0,0,0.0514585979437513,7.33285020698456
240.9,0.952463103757665,0.952463103687662,0.952463103791699,66.8554222052484,66.8554222052484,25.6125360763303,7.32157232664769,36.9318821233296,22.6019677552712,0,1,1.00016112348902,0,0,0.0498579147868244,7.10475285712248
240.91,0.953065744531888,0.953065744464935,0.95306574456572,68.5309448201809,68.5309448201809,26.1680883119937,8.93968484285105,36.9606193803675,22.6306405969624,0,1,0.999840032094333,0,0,0.0662418622468975,9.43946537018289
240.92,0.953621675964755,0.953621675901022,0.953621675998999,68.5180201199073,68.5180201199073,26.1682740915678,8.87414255747422,36.9869742230408,22.6569033393923,0,1,0.999942444180261,0,0,0.0462958908126077,6.5971644407966
240.93,0.954155734392322,0.954155734329746,0.954155734425717,67.8923316863323,67.8923316863323,25.9668893000231,8.19768450130996,37.0123539636287,22.6822932213937,0,1,1.00006610508362,0,0,0.0402646474544654,5.73771226226132
240.94,0.954684102419553,0.954684102359997,0.95468410245342,68.9264743819068,68.9264743819068,26.3110310716674,9.1814283670746,37.037535968711,22.7075100461212,0,1,0.999840953102743,0,0,0.0644890982083501,9.18969649468989
240.95,0.95518301442181,0.955183014364008,0.95518301445542,66.5915254812005,66.5915254812005,25.5475525922491,6.799039114532,37.0612142916283,22.7312720750402,0,1,1.00027596133794,0,0,0.0502816336432096,7.16513279415737
240.96,0.955666708675303,0.955666708619712,0.955666708709716,67.4165721186228,67.4165721186228,25.8226069727867,7.57789089094487,37.0842556864783,22.7544255411997,0,1,1.0000770228605,0,0,0.0541765812376882,7.72016282637057
