t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
106.12,0.937938428679104,0.937938428738306,0.937938428471754,125.787952540317,125.787952540317,46.6986879240401,57.0987476367959,46.833525451972,21.8556794515495,0,0.995005707323505,1.09982246687175,-0,0,0.373004387598144,53.1531252327355
106.13,0.937852528190892,0.937852528249771,0.937852527982032,122.937520523718,122.937520523718,45.7606523571537,54.2585458571269,46.8277012918456,21.8512733747455,0,0.995005707323505,1.10103057639364,-0,0,0.359086126111431,51.169772970879
106.14,0.937809999411008,0.937809999472294,0.937809999201801,121.682996525585,121.682996525585,45.3477457745445,53.0090278459817,46.8248178534734,21.8491508261295,0,0.995005707323505,1.10168494967195,-0,0,0.362265013032081,51.6227643570715
106.15,0.937770313761396,0.937770313820501,0.937770313553889,122.393474864859,122.393474864859,45.5807500615669,53.7241357941383,46.822175119887,21.8471639508338,0,0.995005707323505,1.10141493088744,-0,0,0.357332755629637,50.9199176772232
106.16,0.937764292615464,0.93776429267313,0.937764292406266,118.944606540841,118.944606540841,44.4470576505321,50.276099673878,46.8216226735392,21.8468841934239,0,0.995005707323505,1.10285773264247,-0,0,0.33048973637301,47.0947874331539
106.17,0.937805381380023,0.937805381439477,0.937805381170195,117.233482197938,117.233482197938,43.885161306867,48.5601322560175,46.8242496033055,21.8491003386154,0,0.995005707323505,1.10380626395808,-0,0,0.323909579162955,46.1571150307211
106.18,0.937868885923501,0.937868885982361,0.937868885716688,117.52870819117,117.52870819117,43.9830073541507,48.8479633963589,46.8283406449635,21.8524041498476,0,0.995005707323505,1.10377695231116,-0,0,0.318853759045384,45.4366606639673
106.19,0.937958462842083,0.937958462900481,0.937958462634239,115.003721383006,115.003721383006,43.154213059891,46.3126507655197,46.8340374176882,21.8570331997981,0,0.995005707323505,1.10499736457935,-0,0,0.318046071803086,45.3215652319398
106.2,0.938059301702568,0.93805930176039,0.938059301493758,114.52283849016,114.52283849016,42.9974332937944,45.8201068788967,46.8404998769355,21.8622317343282,0,0.995005707323505,1.1052855143139,-0,0,0.297421310552143,42.3825367536804
106.21,0.93805932949138,0.938059329546106,0.938059329289634,114.487312164607,114.487312164607,42.9858167650197,45.7837839698526,46.8407515881728,21.8627766065811,0,0.995005707323505,1.10540565071747,-0,0,0.294458462984115,41.9603309752364
106.22,0.938109390527853,0.938109390582685,0.93810939032073,113.7049347081,113.7049347081,42.7293235694011,44.9952137660045,46.8440619488464,21.8656589932495,0,0.995005707323505,1.10580328108579,-0,0,0.287537579912803,40.9741051375744
106.23,0.938176155042132,0.938176155095453,0.938176154832843,111.644445182184,111.644445182184,42.0529439614423,42.9265965160453,46.8484202264629,21.8694284396756,0,0.995005707323505,1.10691450009936,-0,0,0.288006061603433,41.0408637784892
106.24,0.93824760820338,0.938247608263314,0.938247607998644,112.086617180512,112.086617180512,42.1992145410132,43.3600760546735,46.8531140781837,21.8734270476546,0,0.995005707323505,1.10685778767715,-0,0,0.30043201053126,42.8115615007046
106.25,0.938293906448279,0.938293906516112,0.938293906248565,113.046850497328,113.046850497328,42.5154249089449,44.3146990467758,46.8560946508444,21.8760567997075,0,0.995005707323505,1.10626849469151,-0,0,0.282862165440968,40.3078585753379
106.26,0.938349123590903,0.938349123646128,0.93834912338788,112.54868517916,112.54868517916,42.3523847394842,43.8099590808316,46.8595827524433,21.8791433458855,0,0.995005707323505,1.10659468328502,-0,0,0.302114087275908,43.0512574368169
106.27,0.938413458819011,0.938413458876713,0.938413458614173,111.653045271623,111.653045271623,42.0587945448475,42.9069142836479,46.8635487392505,21.882582248725,0,0.995005707323505,1.10696304407867,-0,0,0.288373750907467,41.0932595043141
106.28,0.938475296271192,0.938475296338755,0.938475296072314,111.656072689134,111.656072689134,42.0605566501065,42.902751563984,46.8673830287525,21.8859380963974,0,0.995005707323505,1.10704096216606,-0,0,0.284556753491923,40.5493373725991
106.29,0.938534430802625,0.938534430862474,0.938534430601858,113.299602519536,113.299602519536,42.6014847852638,44.5394948120256,46.8710163586421,21.889091348868,0,0.995005707323505,1.10631021205465,-0,0,0.303976904975763,43.3167089590463
106.3,0.938586612159714,0.938586612213651,0.938586611955039,112.51111609518,112.51111609518,42.3429254125461,43.7453169508579,46.874026419717,21.8917727246049,0,0.995005707323505,1.10650978708757,-0,0,0.288750864000544,41.1469981200775
106.31,0.938654348448959,0.938654348514074,0.938654348248238,111.693925821073,111.693925821073,42.0751349449796,42.9205674234419,46.8780618236143,21.8952965740171,0,0.995005707323505,1.10703440501748,-0,0,0.299544018859463,42.6850226874735
106.32,0.938726079438593,0.9387260794993,0.938726079240217,111.043774869873,111.043774869873,41.8622908089785,42.2624758939737,46.8823181418165,21.8989808340827,0,0.995005707323505,1.10734474349893,-0,0,0.286451680165139,40.8193644235323
106.33,0.938797218918028,0.938797218971797,0.938797218715292,111.536514016398,111.536514016398,42.0250950255051,42.7472868687056,46.8865670169799,21.9026601307128,0,0.995005707323505,1.10719998297036,-0,0,0.290910434886742,41.4547369713608
106.34,0.938879494105802,0.938879494167841,0.938879493904985,111.746325166926,111.746325166926,42.0950226281596,42.9481395225194,46.8914175538183,21.9067680905881,0,0.995005707323505,1.10702478930415,-0,0,0.278022312466226,39.6181795264371
106.35,0.938977799271439,0.938977799334798,0.938977799073617,109.05600772357,109.05600772357,41.2119223553358,40.2469935923542,46.8972572303737,21.9117569008419,0,0.995005707323505,1.10843106975647,-0,0,0.266393091582788,37.9610155505473
