t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
144.25,0.98380466864724,0.98380466891474,0.983804668898095,277.480813368313,277.480813368313,57.332645884431,174.358598024001,74.4204191153917,28.7017962289197,0,1,1.00056940955284,0,0,0.920614624657975,168.472476312409
144.26,0.983575822469704,0.98357582273753,0.983575822721197,281.760845281201,281.760845281201,57.4977216177363,178.671652180886,74.401806751895,28.6873863484205,0,1,1.00007266937856,0,0,0.942913360007076,172.553144881295
144.27,0.98334988533772,0.983349885606813,0.983349885590866,277.541135857268,277.541135857268,57.661239287305,174.48464778262,74.3833718521925,28.673116222456,0,1,1.0005737754931,0,0,0.913984587750374,167.259179558318
144.28,0.983128841711112,0.983128841980516,0.983128841963388,280.17133412801,280.17133412801,57.8174043250531,177.146106450519,74.3657376193943,28.6594900580968,0,1,1.00017671172385,0,0,0.942773219866763,172.527499235618
144.29,0.98287231752219,0.982872317791875,0.9828723177761,282.55301534614,282.55301534614,58.002086441963,179.564713639969,74.3449202965562,28.6433814096144,0,1,1.00003926046488,0,0,0.937042421941579,171.478763215309
144.3,0.982635447495678,0.982635447766534,0.982635447751884,282.152848133658,282.152848133658,58.1722501177918,179.198466243257,74.3258348838686,28.6285470065331,0,1,1.00015218087219,0,0,0.937997998757757,171.65363377267
144.31,0.982387592751803,0.98238759302317,0.98238759300741,278.788271168626,278.788271168626,58.3465008905409,175.868834489309,74.3060844222401,28.613352257077,0,1,1.00047371930548,0,0,0.932247201788717,170.601237927335
144.32,0.982130231441896,0.982130231713486,0.98213023169797,280.545192992521,280.545192992521,58.527160144185,177.661940766735,74.2856475747767,28.5976046510091,0,1,1.00026426720188,0,0,0.929668440283459,170.129324571873
144.33,0.981871807971303,0.981871808243743,0.981871808227394,277.991070513693,277.991070513693,58.7072091106593,175.143958154183,74.2652007838682,28.581911575642,0,1,1.0005088122116,0,0,0.913428682204011,167.157448843334
144.34,0.981618554749748,0.981618555022522,0.981618555006925,280.792241582156,280.792241582156,58.8810381932172,177.980024725262,74.2454523338223,28.5667645230716,0,1,1.00007721079681,0,0,0.94919633878376,173.702929997428
144.35,0.981365597791366,0.981365598063719,0.981365598049312,279.62814679991,279.62814679991,59.057368426954,176.851215812636,74.2255231603251,28.5514078269492,0,1,1.00022492289914,0,0,0.943844146763115,172.72347885765
