t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
261.43,1.02295321269965,1.02295321252925,1.02295321262099,68.0773785741033,68.0773785741033,10.8080637134281,18.990196437857,28.2137899052092,20.8733922310371,0,0.998170582656102,0.999877701270763,-0,0,0.147522911970907,18.2928410843924
261.44,1.02337101087903,1.02337101071014,1.02337101080148,67.2213908954579,67.2213908954579,10.8181208013016,18.1064764311683,28.2243753013211,20.8905391629685,0,0.998170582656102,1.00003591172677,-0,0,0.133274610073832,16.5260516491551
261.45,1.02376058264815,1.02376058248044,1.02376058257159,66.5379313411936,66.5379313411936,10.8274952929207,17.3971357888689,28.2341769493324,20.9066186029923,0,0.998170582656102,1.00007788549448,-0,0,0.129786838423088,16.0935679644629
261.46,1.02415367790376,1.02415367773623,1.0241536778288,67.8399887623853,67.8399887623853,10.8369603800034,18.6730626321343,28.2440748113703,20.9228513188807,0,0.998170582656102,0.999924259812696,-0,0,0.144516254861315,17.9200156028031
261.47,1.02452299661642,1.02452299645182,1.02452299654011,68.5066769244818,68.5066769244818,10.8458526884869,19.3152458570623,28.2534671958918,20.9379638715277,0,0.998170582656102,0.99995332431743,-0,0,0.14663812761327,18.1831278240455
261.48,1.0248934871152,1.02489348695126,1.02489348703861,66.5387598645775,66.5387598645775,10.854756693577,17.3227571543608,28.2627994550093,20.9532032552074,0,0.998170582656102,1.00013987717904,-0,0,0.129777832732033,16.0924512587721
261.49,1.02523977349556,1.02523977333297,1.02523977341911,68.757340775013,68.757340775013,10.8630968565594,19.5183187533115,28.2715331763721,20.9674888453294,0,0.998170582656102,0.999894257600122,-0,0,0.150532153713653,18.665987060493
261.5,1.02557936562562,1.02557936546425,1.02557936554935,81.7144987471024,81.7144987471024,10.8713420308482,32.45277762277,28.2802894116277,20.9814317127047,0,0.998170582656102,0.998634457908295,-0,0,0.304177023736231,37.7179509432927
261.51,1.02584254872079,1.02584254855988,1.02584254864656,87.6131982900397,87.6131982900397,10.8777651785295,38.3341699651467,28.2878995300123,20.9911287948807,0,0.998170582656102,0.998954387086948,-0,0,0.29849809687503,37.0137640125038
261.52,1.02615277559269,1.02615277543284,1.02615277552075,86.2492649548087,86.2492649548087,10.8853424722374,36.9497160392921,28.2966588582456,21.002890057271,0,0.998170582656102,0.99953619174485,-0,0,0.294260648582461,36.4883204242252
261.53,1.02641030717719,1.02641030701868,1.02641030710621,85.0445408832527,85.0445408832527,10.8917001935664,35.7278304949974,28.3041258032488,21.0125845850065,0,0.998170582656102,0.999894384348913,-0,0,0.28005976588427,34.7274109696494
261.54,1.02665890457855,1.02665890442095,1.0266589045087,84.8023629623146,84.8023629623146,10.8978906585044,35.4689452498514,28.3114012433812,21.022016469082,0,0.998170582656102,1.00003335944681,-0,0,0.271044805465525,33.6095558777251
