t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
90.12,0.979410726944465,0.979410727206402,0.979410727184033,277.615402593999,277.615402593999,61.0354552847916,173.043484612674,76.1097385725598,28.4621794087652,0,1,1.00058414873358,0,0,0.910560124893942,166.632502855591,0,0
90.13,0.979341755960069,0.979341756224829,0.979341756201591,278.343466473594,278.343466473594,61.1165597928781,173.78792144034,76.1004251680314,28.4551198652223,0,1,1.00047147051676,0,0,0.92434912002199,169.155888964024,0,0
90.14,0.9792637727703,0.979263773033932,0.979263773009799,276.166472366967,276.166472366967,61.2028464799655,171.628329223814,76.0905322874801,28.4476108556725,0,1,1.00075526676219,0,0,0.89429090683988,163.655235951698,0,0
90.15,0.979177473700212,0.979177473970593,0.979177473947245,276.094931561508,276.094931561508,61.2880593971614,171.57417229172,76.0805705205338,28.4401887492548,0,1,1.00063237081291,0,0,0.908239479432279,166.207824736107,0,0
90.16,0.979088346062951,0.979088346333446,0.979088346311304,275.414771234063,275.414771234063,61.3743467683453,170.911551498284,76.0705432981278,28.4326764376513,0,1,1.00066157169489,0,0,0.898246486201906,164.379106974949,0,0
90.17,0.978989499229053,0.978989499501633,0.978989499479418,278.251181524135,278.251181524135,61.4645625922527,173.766319358104,76.0600397413273,28.4248224247036,0,1,1.00028993538967,0,0,0.92242285061113,168.803381661837,0,0
90.18,0.978870393676487,0.978870393953263,0.978870393929219,278.97272211359,278.97272211359,61.5699319381193,174.509249937691,76.0478197067119,28.4156524691867,0,1,1.0003010995922,0,0,0.916325822638174,167.687625542786,0,0
90.19,0.978743597714889,0.978743597990314,0.978743597968199,276.669109481923,276.669109481923,61.6774595217247,172.227572467136,76.0352448559622,28.4062921588257,0,1,1.00058018881299,0,0,0.899157624655512,164.545845311959,0,0
90.2,0.978610149425125,0.978610149702594,0.978610149679811,278.654853904428,278.654853904428,61.7873307979592,174.235714284154,76.0224096110049,28.3967300092688,0,1,1.00036136664465,0,0,0.901498163687144,164.974163954747,0,0
90.21,0.978459436209412,0.97845943648856,0.97845943646506,280.156721730279,280.156721730279,61.9072620089325,175.762109270007,76.0083212819513,28.3862911783204,0,1,1.00019256859773,0,0,0.922730416846263,168.859666282866,0,0
90.22,0.978293540956639,0.978293541236212,0.978293541212775,278.675942769633,278.675942769633,62.0377377192995,174.308018806419,75.9929874314037,28.3749365318095,0,1,1.00041934571917,0,0,0.908742449347322,166.29986823056,0,0
90.23,0.978126841506451,0.978126841787235,0.978126841763779,278.801689722211,278.801689722211,62.1652442823387,174.459913413707,75.9779363640047,28.3638399444998,0,1,1.00036714547567,0,0,0.917130894304542,167.834953657731,0,0
90.24,0.97795008542178,0.977950085704438,0.977950085679634,275.175977349791,275.175977349791,62.2968991213015,170.861349078647,75.9622493152239,28.3523789559196,0,1,1.0006848825797,0,0,0.904021610434068,165.435954709434,0,0
90.25,0.977740686496311,0.977740686781371,0.977740686758503,280.264091078039,280.264091078039,62.4501350581233,175.981032512882,75.9440153328448,28.3390432323125,0,1,1.00009529349346,0,0,0.924293993797953,169.145800865025,0,0
90.26,0.977538077895901,0.977538078175337,0.977538078154746,277.301671191061,277.301671191061,62.600051784624,173.049427317494,75.926241803699,28.3260020698677,0,1,1.0004913704058,0,0,0.897195636121297,164.186801410197,0,0
90.27,0.97734180589816,0.977341806181506,0.977341806157325,278.763330678855,278.763330678855,62.7408306576605,174.540121814166,75.9094540629172,28.3137548017725,0,1,1.0002246873052,0,0,0.92552690803376,169.371424170178,0,0
90.28,0.977115157897216,0.977115158179892,0.977115158153938,278.443745149895,278.443745149895,62.9036169004953,174.254105366759,75.8900433516987,28.2995964314372,0,1,1.00027957898948,0,0,0.921707782111432,168.672524126392,0,0
90.29,0.976904067997946,0.976904068284903,0.976904068258419,278.224393371399,278.224393371399,63.0543505129278,174.065798343475,75.8721040859675,28.2864909419563,0,1,1.00028238548958,0,0,0.924766642694579,169.232295613108,0,0
90.3,0.976680334629079,0.976680334915439,0.97668033489027,277.213310461062,277.213310461062,63.2126839081782,173.087379036457,75.8532055057696,28.2727259188362,0,1,1.00037294958726,0,0,0.917567512035734,167.914854702539,0,0
90.31,0.976420630080006,0.976420630369296,0.976420630344521,279.602943316325,279.602943316325,63.3957208101887,175.514787999159,75.8313385345383,28.2568167826277,0,1,1.00014475533913,0,0,0.916363635330803,167.694545265537,0,0
90.32,0.976188658910655,0.976188659194827,0.9761886591742,276.364068410283,276.364068410283,63.5576082131468,172.309368073315,75.811952368672,28.2427479682955,0,1,1.00045193164277,0,0,0.910582931249092,166.636676418584,0,0
90.33,0.975938960988961,0.975938961275182,0.975938961246592,277.95605715404,277.95605715404,63.7308675269629,173.937150071676,75.7912119043812,28.2276951779828,0,1,1.00024217951373,0,0,0.912206568164852,166.933801974168,0,0
90.34,0.975692597652548,0.975692597935909,0.975692597915205,274.695401866579,274.695401866579,63.9003904939984,170.71160304999,75.7708312245416,28.2129675920474,0,1,1.00053980484357,0,0,0.895986002217058,163.965438405722,0,0
90.35,0.975444176939148,0.975444177228017,0.975444177201969,276.569826009571,276.569826009571,64.0709257503,172.62128236856,75.7503853681622,28.198158272849,0,1,1.00028818979117,0,0,0.892269304631879,163.285282747634,0,0
90.36,0.975185803646247,0.975185803934989,0.97518580390844,275.484257802368,275.484257802368,64.2460320168732,171.572066278058,75.7292412100936,28.1829503142162,0,1,1.00030572852618,0,0,0.903781872351803,165.39208264038,0,0
90.37,0.974915467784304,0.974915468072578,0.974915468049088,276.287894293405,276.287894293405,64.4287859603127,172.413643218594,75.7071685969807,28.1670824778304,0,1,1.00013636078376,0,0,0.921630055869973,168.658300224205,0,0
90.38,0.974625170789221,0.974625171077498,0.974625171053251,277.059386451787,277.059386451787,64.6282260625705,173.226392943448,75.6832170759901,28.1497764323489,0,1,1.00012763412035,0,0,0.906463710424152,165.88285900762,0,0
90.39,0.974367773448282,0.97436777373924,0.974367773713018,274.724720144719,274.724720144719,64.8035037045355,170.927991172913,75.6621577717494,28.1345712000565,0,1,1.00037556540203,0,0,0.890046228659897,162.878459844761,0,0
90.4,0.97411560276116,0.974115603050351,0.974115603025346,274.986611826049,274.986611826049,64.9718594339127,171.224826042097,75.6418196586367,28.1199661253153,0,1,1.00021355868083,0,0,0.910097984559937,166.547931174468,0,0
90.41,0.973834378035187,0.97383437832199,0.973834378300498,277.82363456452,277.82363456452,65.1628442028767,174.101352455965,75.6188744808717,28.1034076276834,0,1,0.999923372666902,0,0,0.921506970134666,168.635775534644,0,0
90.42,0.973566854144911,0.973566854434804,0.973566854408972,275.264918924581,275.264918924581,65.3454836031195,171.580358791435,75.5969808394021,28.0875792937444,0,1,1.00026623345398,0,0,0.899027961945024,164.522117035939,0,0
90.43,0.973316627075032,0.973316627364552,0.973316627338953,275.064602569434,275.064602569434,65.5139811391607,171.414873438419,75.5767497654341,28.0729793655809,0,1,1.00023888576973,0,0,0.897925796856313,164.320420824705,0,0
90.44,0.973048313156986,0.973048313447356,0.973048313420319,274.355579033532,274.355579033532,65.6945345107482,170.743223138728,75.5550187599062,28.0573371348979,0,1,1.0002852308035,0,0,0.888303751586012,162.55958654024,0,0
90.45,0.972800551675667,0.972800551964401,0.972800551939337,274.515413780545,274.515413780545,65.8596078011755,170.937230913772,75.5351432077567,28.0430396590159,0,1,1.00018176020686,0,0,0.898720398967608,164.465833011072,0,0
90.46,0.97257095625308,0.972570956543332,0.972570956518604,273.066137422493,273.066137422493,66.0128342232006,169.519620061591,75.5167437851265,28.029773575775,0,1,1.00028988648964,0,0,0.891368000250452,163.120344045833,0,0
90.47,0.972303885933239,0.972303886223467,0.972303886197445,276.893078998072,276.893078998072,66.1912701774461,173.38347120147,75.4952802557331,28.0143275408693,0,1,0.999831874804838,0,0,0.919074337408359,168.19060374573,0,0
90.48,0.9720603746585,0.972060374946727,0.972060374922413,276.874822175777,276.874822175777,66.3565286473735,173.399223404221,75.4755662626723,28.0000325088839,0,1,0.999901372269847,0,0,0.92463929962595,169.208991831549,0,0
90.49,0.971811050777442,0.971811051067278,0.971811051043636,278.985393532522,278.985393532522,66.5284837961597,175.545003772074,75.4552210407911,27.9851687196576,0,1,0.999829748379328,0,0,0.915237753039321,167.488508806196,0,0
90.5,0.971579005255069,0.97157900554416,0.971579005520529,273.688555930128,273.688555930128,66.6851655272167,170.280423724025,75.4365102074369,27.9716219986662,0,1,1.00039957639316,0,0,0.896832543387953,164.120355439995,0,0
90.51,0.971214647754354,0.971214648045516,0.971214648021774,279.05254959387,279.05254959387,66.929924236326,175.695137723448,75.4069575358892,27.9504543345324,0,1,0.999781527738664,0,0,0.924959345847437,169.267560290081,0,0
90.52,0.970809001066475,0.970809001360155,0.97080900133235,277.53417343374,277.53417343374,67.2046917522427,174.233727555228,75.3737460055643,27.9266998729473,0,1,1.00001991890694,0,0,0.920586177087406,168.467270406995,0,0
90.53,0.970407357469234,0.970407357762072,0.970407357737737,278.819103249658,278.819103249658,67.4773330830262,175.575079736763,75.3408805248063,27.9031429880882,0,1,0.999946583235142,0,0,0.919302495159899,168.232356614261,0,0
90.54,0.970049838592158,0.970049838885582,0.970049838860588,276.078142528785,276.078142528785,67.7183248494234,172.884012233412,75.3118021355504,27.8823281598225,0,1,1.00021556252136,0,0,0.918089783505731,168.010430381549,0,0
90.55,0.969708318632074,0.96970831892547,0.969708318900436,277.097586421641,277.097586421641,67.9487947008273,173.951054116037,75.2840985988863,27.8624337067174,0,1,1.00008600088856,0,0,0.918260136729614,168.041605021519,0,0
90.56,0.969381093804627,0.969381094099539,0.969381094074917,274.834755420045,274.834755420045,68.1700233010009,171.733874187398,75.2575361934679,27.843345039179,0,1,1.00034213270873,0,0,0.89271464567381,163.366780158307,0,0
90.57,0.969083972653274,0.969083972949745,0.969083972925158,275.006026356396,275.006026356396,68.3687364095735,171.946149904566,75.2336717863736,27.8262046654568,0,1,1.00023872487113,0,0,0.893170068838779,163.450122597497,0,0
90.58,0.968807600170808,0.968807600467203,0.96880760043829,276.154833411566,276.154833411566,68.5527859044446,173.132902445316,75.2115959116971,27.8103350545527,0,1,1.0000133511008,0,0,0.917645557761734,167.929137070397,0,0
90.59,0.968651815566476,0.968651815877611,0.968651815847901,276.327292430018,276.327292430018,68.6604252570329,173.327032017556,75.1991850173809,27.8010753950813,0,1,1.00005630443783,0,0,0.904718095180342,165.563411418003,0,0
90.6,0.968438321098733,0.968438321392252,0.968438321365124,278.265725202942,278.265725202942,68.80660273111,175.295267270162,75.1819688818074,27.7884890509718,0,1,0.999847462292962,0,0,0.923969385750415,169.086397592326,0,0
90.61,0.968255257231427,0.968255257524518,0.968255257507669,275.794096402151,275.794096402151,68.9342161183804,172.849455717262,75.1671297750939,27.777510909796,0,1,1.00020819314894,0,0,0.895310402523271,163.841803661759,0,0
