t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
294.56,0.981812102548222,0.98181210224852,0.981812102028394,284.64411985747,284.64411985747,19.831345647369,163.186444625249,78.5358622854403,42.9218129467812,0,0.995002194364908,1.07376297806447,-0,0,0.55556703764885,157.503255173449,0,0
294.57,0.981639496652286,0.981639496352471,0.981639496131848,283.68490523164,283.68490523164,19.8219422599472,162.252709541258,78.5272524897398,42.9049432006424,0,0.995002194364908,1.07384267965742,-0,0,0.554491731953767,157.198406008893,0,0
294.58,0.981472270071761,0.981472269773855,0.981472269551555,281.233164020653,281.233164020653,19.8129501681954,159.825343834796,78.5190593303928,42.8887608554646,0,0.995002194364908,1.07403281912301,-0,0,0.540252310818032,153.161530116912,0,0
294.59,0.981306000584362,0.981306000285791,0.981306000062809,283.832051078817,283.832051078817,19.804166990378,162.448052482757,78.5111038117815,42.8728947842777,0,0.995002194364908,1.07382039148969,-0,0,0.545210968027557,154.567309435812,0,0
294.6,0.981162908056673,0.981162907757738,0.981162907533827,277.713561696702,277.713561696702,19.7967666233114,156.349666449755,78.5045201391156,42.859375107831,0,0.995002194364908,1.07432306173045,-0,0,0.526273545192235,149.198550061999,0,0
294.61,0.980987539475874,0.980987539177807,0.98098753895306,282.240703811181,282.240703811181,19.7876741919828,160.901435403604,78.496165695914,42.8431027116638,0,0.995002194364908,1.07394169647938,-0,0,0.53368919146084,151.300885779148,0,0
294.62,0.980838556137886,0.980838555839422,0.980838555615949,283.91208870752,283.91208870752,19.7801238767051,162.59333630477,78.4894714408395,42.8292809619102,0,0.995002194364908,1.07382976573146,-0,0,0.557312316895304,157.998041839819,0,0
294.63,0.980651074154816,0.980651073857068,0.980651073632315,283.96417853423,283.96417853423,19.7702365121217,162.672214980577,78.4804234968434,42.8115400568088,0,0.995002194364908,1.07379032893594,-0,0,0.545743700099598,154.718338978236,0,0
294.64,0.980500341145441,0.980500340848673,0.980500340621892,278.288762546151,278.288762546151,19.7626800633037,157.017301540092,78.4736168779248,42.7978441281335,0,0.995002194364908,1.07428867923926,-0,0,0.537846319379104,152.479431543976,0,0
294.65,0.980312123007523,0.980312122710752,0.980312122485025,279.848089465467,279.848089465467,19.7530458584949,158.602683378923,78.46462844272,42.780777643824,0,0.995002194364908,1.07413269986055,-0,0,0.529235390080411,150.038233087796,0,0
294.66,0.98014913216837,0.980149131871392,0.980149131643966,280.637901946461,280.637901946461,19.7449059627464,159.41456204289,78.4572285630264,42.7661113405445,0,0.995002194364908,1.07407773826347,-0,0,0.536822838970557,152.189274848153,0,0
294.67,0.979986242563697,0.979986242266559,0.979986242039718,279.650960313394,279.650960313394,19.7368300262848,158.449494543744,78.4498198780132,42.7516458916362,0,0.995002194364908,1.07418276520116,-0,0,0.545511096480705,154.65239585228,0,0
294.68,0.979780708842962,0.979780708547147,0.979780708319482,281.390781228537,281.390781228537,19.7262212787913,160.217979303005,78.4398305228464,42.7329714026858,0,0.995002194364908,1.07399917299729,-0,0,0.536878024701689,152.204920002929,0,0
294.69,0.979591207565773,0.979591207269713,0.97959120704171,279.669854750604,279.669854750604,19.7165556857856,158.523190546494,78.4308129471634,42.7158512569464,0,0.995002194364908,1.07413071141467,-0,0,0.526593773921727,149.289334906809,0,0
294.7,0.979429431713662,0.979429431417131,0.979429431188921,276.687865594647,276.687865594647,19.7086439610313,155.562614242458,78.4234992537628,42.7017520984263,0,0.995002194364908,1.07441190325357,-0,0,0.527009117037158,149.407084680034,0,0
294.71,0.97923297936468,0.979232979068219,0.979232978841202,280.910720286481,280.910720286481,19.6987656225922,159.81214437739,78.4141485371114,42.6844273719802,0,0.995002194364908,1.07405784355665,-0,0,0.541676558574464,153.56530435586,0,0
294.72,0.979049069466049,0.979049069170125,0.979049068940971,275.908305708135,275.908305708135,19.6895712555618,154.834551263534,78.4054212486796,42.6683331959214,0,0.995002194364908,1.07446949141512,-0,0,0.523169659834163,148.318598562985,0,0
