t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
90.82,1.0174952468352,1.01749524669448,1.01749524693686,77.1683058847185,77.1683058847185,12.4551173671616,24.5080251628436,32.0151587067562,20.6451220151188,0,1,1.00003007251559,0,0,0.186347513958225,23.1070917308199,0,0
90.83,1.01758831251722,1.01758831237825,1.01758831262318,76.0026849058371,76.0026849058371,12.4570991725771,23.3369331857582,32.0168455874027,20.6489061326762,0,1,1.00010357626018,0,0,0.179381965841609,22.2433637643595,0,0
90.84,1.0177021359529,1.01770213581281,1.01770213605619,77.2745486614792,77.2745486614792,12.4596344501142,24.6018740349508,32.0191931151507,20.6534815113778,0,1,1.00000676443634,0,0,0.181839961574279,22.5481552352106,0,0
90.85,1.01781208916855,1.01781208902785,1.01781208927111,78.0164241034649,78.0164241034649,12.4620696632985,25.3370822430649,32.0214044962829,20.6579373641172,0,1,0.999915004230014,0,0,0.198130943125018,24.5682369475023,0,0
90.86,1.01794308925416,1.0179430891137,1.01794308935744,77.4654030514796,77.4654030514796,12.4650477973377,24.7779640670333,32.0242498910114,20.6631890934349,0,1,1.00000354556294,0,0,0.19146069832631,23.7411265924624,0,0
90.87,1.01845463358348,1.01845463344231,1.01845463367872,76.1385601007938,76.1385601007938,12.4779694545375,23.4165580610489,32.0380125829349,20.68398945681,0,1,1.00009049769461,0,0,0.183365903922761,22.7373720864224,0,0
90.88,1.01920216935481,1.01920216922334,1.01920216945292,76.2716065574497,76.2716065574497,12.4970654727128,23.4986229054433,32.0585935941006,20.7143900579057,0,1,1.00005601872966,0,0,0.17993157534847,22.3115153432103,0,0
90.89,1.01996618976766,1.01996618964171,1.01996618986335,76.6946200418772,76.6946200418772,12.5166115706868,23.8694430564101,32.0796364286583,20.7455405568088,0,1,0.999959588091012,0,0,0.19035464761776,23.6039763046022,0,0
90.9,1.02072668018017,1.02072668005839,1.02072668027229,75.3676851431549,75.3676851431549,12.5360678998223,22.490570809738,32.1006247358867,20.7764895975301,0,1,1.00012998763198,0,0,0.167883283343165,20.8175271345525,0,0
90.91,1.02126276835014,1.02126276824368,1.02126276846152,76.4805678759208,76.4805678759208,12.5496802486965,23.5670354833964,32.1151104591832,20.7984219333412,0,1,0.999973457968766,0,0,0.181649026724149,22.5244793137945,0,0
90.92,1.02185556842421,1.02185556831126,1.02185556851246,76.1589199623013,76.1589199623013,12.5647787673346,23.2050333097931,32.1312775018362,20.8226091506719,0,1,1.00003586758899,0,0,0.174966853291323,21.695889808124,0,0
90.93,1.02242704054246,1.02242704043263,1.0224270406274,76.4977975874608,76.4977975874608,12.5793290376327,23.5050100020536,32.1468292748007,20.8459583106064,0,1,1.00000744980921,0,0,0.177747154358811,22.0406471404925,0,0
90.94,1.02301848845741,1.02301848834914,1.0230184885364,74.9979027094847,74.9979027094847,12.5943985689346,21.9648298109187,32.1629470344806,20.8701258640854,0,1,1.00016508716827,0,0,0.160574417163388,19.9112277282601,0,0
90.95,1.02359065649955,1.02359065639755,1.02359065658194,75.5838628910465,75.5838628910465,12.6089806303247,22.5117744288394,32.1784627717166,20.8936256904905,0,1,1.00002888648322,0,0,0.172724537020627,21.4178425905577,0,0
90.96,1.02415706286693,1.02415706276465,1.02415706294336,76.4975397224512,76.4975397224512,12.6234139512218,23.3868519819368,32.1938666567113,20.9168210838031,0,1,0.999953768121045,0,0,0.178822824365662,22.1740302213421,0,0
90.97,1.02470651734565,1.02470651724714,1.02470651742311,75.0015818828017,75.0015818828017,12.6373931204167,21.853495177808,32.2087523224675,20.9393343825263,0,1,1.00010487340926,0,0,0.165429704193968,20.5132833200521,0,0
90.98,1.02527108751901,1.0252710874232,1.02527108759537,76.6432363333449,76.6432363333449,12.651793033599,23.4566081674391,32.224046222651,20.9625819432548,0,1,0.999859074310377,0,0,0.191542200965093,23.7512329196716,0,0
90.99,1.02581075464039,1.02581075454646,1.0258107547158,74.8496544126092,74.8496544126092,12.6655164665469,21.6263067326598,32.2386507947103,20.9846968852391,0,1,1.00007655603239,0,0,0.168196242404554,20.8563340581647,0,0
91,1.02633422557136,1.02633422547851,1.02633422564463,77.1388370526142,77.1388370526142,12.6788427644948,23.8798116610147,32.2527832854773,21.0062421061223,0,1,0.999814605218357,0,0,0.193244781595622,23.9623529178571,0,0
91.01,1.02685631516587,1.02685631507417,1.02685631523819,76.2790108488092,76.2790108488092,12.6921151883919,22.9844921365884,32.2669578258387,21.0275608863821,0,1,1.00001857448579,0,0,0.172416192772463,21.3796079037854,0,0
91.02,1.02739003337959,1.02739003328612,1.0273900334463,76.1517815831582,76.1517815831582,12.7057092750361,22.8208813083454,32.2814088368903,21.0494914379225,0,1,1.00000538566924,0,0,0.176872579141332,21.9321998135252,0,0
91.03,1.02790153289612,1.02790153280837,1.02790153296789,77.773868532532,77.773868532532,12.7187313882472,24.4081191711403,32.2952572525107,21.0704921088811,0,1,0.999852006848404,0,0,0.193556840745208,24.0010482524058,0,0
91.04,1.02840283861346,1.02840283852269,1.02840283867954,77.4625792278863,77.4625792278863,12.7314800023205,24.0627257677731,32.30884770107,21.0910057590433,0,1,0.999946504383792,0,0,0.187991586156963,23.3109566834635,0,0
91.05,1.02889650394739,1.02889650385904,1.02889650401449,77.7209170452467,77.7209170452467,12.7440397373235,24.2874527176037,32.3222086732252,21.1112556544177,0,1,0.999929416161013,0,0,0.192706248067376,23.8955747603546,0,0
91.06,1.02938113709582,1.02938113700943,1.02938113716371,79.0950324176378,79.0950324176378,12.7563740784612,25.6285836379685,32.3353872416999,21.1310615379694,0,1,0.999871672906618,0,0,0.198502700695768,24.6143348862753,0,0
91.07,1.02985029567359,1.02985029558491,1.02985029573789,77.6193135402976,77.6193135402976,12.7682959331202,24.1209623788817,32.3480752055568,21.1502759558591,0,1,1.00003303632638,0,0,0.189287921143742,23.471702221824,0,0
91.08,1.03033207812514,1.03033207803693,1.03033207818891,78.1576907405881,78.1576907405881,12.780571257297,24.6264960520326,32.361151806063,21.1700428824925,0,1,0.999980543882949,0,0,0.191638329562159,23.7631528657078,0,0
91.09,1.03078247855447,1.03078247846774,1.03078247861893,77.4585558152384,77.4585558152384,12.7920174246431,23.8967278355046,32.3733261792853,21.1885018004484,0,1,1.0000762725048,0,0,0.180525090227269,22.3851111881813,0,0
