t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
262.13,0.981904568701192,0.981904569026215,0.98190456902661,100.978809309205,100.978809309205,37.7184612834463,54.1544074992398,32.4298616421979,14.3945401677669,0,0.705765000089697,1.07644653862917,-2.41442766552047,0,0.56461665028704,49.1216485749725,0,0
262.14,0.981856595427629,0.9818565957527,0.981856595753006,101.029495770528,101.029495770528,37.7346804558724,54.208721538083,32.4277927958994,14.3929814365454,0,0.705775142395093,1.07626823441683,-1.91351892937646,0,0.583868379154044,50.7965489864019,0,0
262.15,0.981802322117725,0.981802322443153,0.981802322443557,101.540501199677,101.540501199677,37.9021373694492,54.7238679350418,32.4254345516048,14.3911987130308,0,0.705783679536663,1.07633820400043,-2.1100740832476,0,0.580345690424789,50.4900750669566,0,0
262.16,0.981756179136908,0.981756179461653,0.98175617946244,99.6725878047729,99.6725878047729,37.2877678637738,52.8593610978629,32.4234787333735,14.3897479735366,0,0.705795447622108,1.07644465078736,-2.40912373052618,0,0.564504050124664,49.1118523608458,0,0
262.17,0.981720226542317,0.981720226866832,0.981720226867709,100.211622537723,100.211622537723,37.4646342192155,53.4009570201077,32.4220491070196,14.3886164105952,0,0.705805337003104,1.07642610218267,-2.35701149369289,0,0.563006113380734,48.9815318641238,0,0
262.18,0.98165614593437,0.981656146259847,0.981656146260475,100.24824450169,100.24824450169,37.4760954072257,53.4422460401872,32.4193356122753,14.3866628492272,0,0.705815649320121,1.07639426281492,-2.26756100039588,0,0.567424932503644,49.365969127817,0,0
262.19,0.981599665212431,0.981599665537664,0.981599665538551,99.7693434799988,99.7693434799988,37.3181867005396,52.967424562764,32.4169743396499,14.3849445775848,0,0.705826388581848,1.07644001268225,-2.39609290704798,0,0.564563104220947,49.1169900672224,0,0
262.2,0.981531245579614,0.981531245905108,0.981531245905932,99.7542497812264,99.7542497812264,37.3126125303586,52.9572839369769,32.4140832759834,14.3828825682661,0,0.705836626422167,1.07653946300333,-2.67551232971125,0,0.548981163784849,47.7613612492818,0,0
262.21,0.981478220647957,0.981478220973454,0.981478220974192,101.103278273542,101.103278273542,37.7555589568533,54.3100644827352,32.4119319410015,14.3812818498049,0,0.705846274250239,1.07626308808543,-1.89906260976574,0,0.576442349903268,50.1504844415843,0,0
262.22,0.981400599645457,0.98140059997083,0.981400599971886,100.490080111307,100.490080111307,37.5533084048828,53.7025177002902,32.4086187427128,14.3789436683045,0,0.705856872207294,1.07632756116122,-2.08017591256667,0,0.575440607788052,50.0633328775605,0,0
