t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
16.78,0.944345216346169,0.944345216311517,0.94434521637727,121.795711813262,121.795711813262,49.0830900587366,31.6083462996502,68.0368599865282,22.1505055270838,0,1,0.999826143480488,0,0,0.210367610065489,29.9773844343321,0,0
16.79,0.944487710025687,0.944487709988957,0.944487710054347,121.941535192092,121.941535192092,49.1331452675305,31.7389063335506,68.045138837701,22.1574900208408,0,1,0.999775634872736,0,0,0.224787029198251,32.0321516607508,0,0
16.8,0.944656718731602,0.944656718695769,0.94465671876177,121.110145396894,121.110145396894,48.8625049369747,30.8888809980358,68.0556370762787,22.1656273225794,0,1,0.999944371075259,0,0,0.216925825247595,30.9119300977824,0,0
16.81,0.944118250601929,0.944118250563418,0.944118250632603,123.454366314259,123.454366314259,49.6213083797357,33.3113784667901,68.0025513753365,22.1404364721321,0,1,0.999543365360825,0,0,0.224625715277147,32.0091644269935,0,0
16.82,0.943583578399663,0.94358357835762,0.943583578430155,122.966999375073,122.966999375073,49.4494732260037,32.9018926261229,67.9497255784438,22.1153811705065,0,1,0.999682983261983,0,0,0.228416335556196,32.5493278167579,0,0
16.83,0.943041219315994,0.94304121927058,0.943041219346177,122.531848529186,122.531848529186,49.2946161977069,32.5458859349044,67.8960901809185,22.0898724133632,0,1,0.999847805895729,0,0,0.20291735108354,28.9157225294045,0,0
16.84,0.942523325597955,0.942523325549455,0.942523325628235,121.785810217683,121.785810217683,49.03816137017,31.8750115272476,67.8450224631549,22.0657762272806,0,1,0.999914199623291,0,0,0.218066440820524,31.0744678169246,0,0
16.85,0.941985544005481,0.94198554395456,0.941985544035889,123.78550650749,123.78550650749,49.6837290791125,33.9529904896852,67.791954764791,22.0405612530136,0,1,0.999580434946683,0,0,0.225574169827807,32.1443192004625,0,0
16.86,0.94145286153063,0.941452861477146,0.941452861561096,121.54659940454,121.54659940454,48.9362343858773,31.7916923643811,67.739312338149,22.0155947020098,0,1,1.00001480506311,0,0,0.213725954782568,30.455948556516,0,0
16.87,0.940938486864345,0.940938486808791,0.940938486894968,123.551388260981,123.551388260981,49.5839721256809,33.8714179415443,67.6884391742537,21.9915311451831,0,1,0.999641907989387,0,0,0.227019492087932,32.3502776225303,0,0
16.88,0.940460823234409,0.940460823176847,0.940460823265052,121.000242910418,121.000242910418,48.7349906506625,31.3901701428739,67.6408492542576,21.9692235132864,0,1,1.00008843202196,0,0,0.225994815202029,32.2042611662891,0,0
16.89,0.939963306117366,0.93996330605832,0.939963306148347,121.966679717063,121.966679717063,49.0417766460464,32.4292691360977,67.5914727662357,21.94593781473,0,1,0.999919621145441,0,0,0.212429775751687,30.2712430446154,0,0
16.9,0.939503440412803,0.939503440352129,0.939503440443664,121.508936076741,121.508936076741,48.8812474163149,32.0388364275472,67.5455877014561,21.924511947738,0,1,0.999963343180183,0,0,0.215816108494472,30.7537954604623,0,0
16.91,0.939071636763104,0.939071636700878,0.93907163679426,119.758457050621,119.758457050621,48.2964174711205,30.3515956070397,67.5023504409009,21.90451100268,0,1,1.00019682791727,0,0,0.192203294815562,27.3889695112176,0,0
16.92,0.938669237762587,0.938669237699284,0.938669237794008,118.411855755922,118.411855755922,47.8449722367156,29.0639197865468,67.4619218280097,21.8860141413651,0,1,1.00030446360076,0,0,0.188312804010512,26.8345745714979,0,0
16.93,0.938303731315388,0.938303731250759,0.938303731346996,117.66602205727,117.66602205727,47.5917591143722,28.3718030884266,67.4248966504678,21.8693223183756,0,1,1.00028182426723,0,0,0.189485396431034,27.0016689914224,0,0
16.94,0.937985524883555,0.937985524818262,0.937985524915529,117.917715075637,117.917715075637,47.6673736025411,28.670743852438,67.3921137309228,21.8548574922763,0,1,1.00008873303389,0,0,0.204611244819406,29.1571023867653,0,0
16.95,0.937645992542878,0.937645992476373,0.937645992574949,117.98202271903,117.98202271903,47.680903959942,28.7856565685873,67.3571566063922,21.8392095440504,0,1,1.00004757779912,0,0,0.189905893531194,27.0615898281951,0,0
16.96,0.937326272707278,0.937326272640121,0.937326272739743,118.238216199695,118.238216199695,47.7579346177484,29.0895371166442,67.3240969247938,21.824582158257,0,1,0.999920900675595,0,0,0.202879963620298,28.9103948158924,0,0
16.97,0.937038489747897,0.937038489679718,0.937038489780362,116.456592020344,116.456592020344,47.1657899739077,27.3513846087154,67.2937974088468,21.8114100027817,0,1,1.00019458308664,0,0,0.191446150313165,27.281076419626,0,0
16.98,0.93676899689057,0.93676899682183,0.936768996923499,115.596774789749,115.596774789749,46.8770235782049,26.5323628402168,67.2652410383506,21.7991709111816,0,1,1.00026184205744,0,0,0.175824736752602,25.0550249872458,0,0
16.99,0.936532354174885,0.936532354105548,0.936532354207863,117.446165432478,117.446165432478,47.4794148203743,28.417920643484,67.2397187733064,21.7885260156876,0,1,0.999806678271984,0,0,0.202916359267908,28.9155811956769,0,0
17,0.936273262918276,0.936273262848423,0.936273262951611,117.677928449727,117.677928449727,47.5495729926196,28.6895568373263,67.2118006247773,21.7765709876236,0,1,0.99979600878044,0,0,0.19952756876413,28.4326785488885,0,0
17.01,0.936062801000973,0.936062800930635,0.936062801034411,115.938804668655,115.938804668655,46.9729226748302,26.9835931628113,67.1882661009698,21.7669454048742,0,1,1.00010453882218,0,0,0.186092673539787,26.5182059794196,0,0
17.02,0.935873217957698,0.935873217887027,0.935873217991488,117.586143715267,117.586143715267,47.5097914933263,28.6611005753836,67.1666989264181,21.7583442134651,0,1,0.999758910234436,0,0,0.20109432345103,28.6559410917718,0,0
17.03,0.935675848973705,0.935675848902652,0.935675849007683,117.54210828884,117.54210828884,47.4905173397402,28.6487008444316,67.1441883446231,21.7492190997857,0,1,0.999808423001771,0,0,0.201752666065526,28.7497549143375,0,0
17.04,0.9354854402005,0.935485440129067,0.935485440234633,119.065054769808,119.065054769808,47.986393864987,30.202562294705,67.1221762928361,21.7403161822671,0,1,0.999610451242161,0,0,0.198805437725869,28.3297748759364,0,0
17.05,0.935303300635595,0.935303300563684,0.935303300669803,120.103822932027,120.103822932027,48.3232854185783,31.2711886375526,67.1008623355396,21.7317719589348,0,1,0.999496214946618,0,0,0.214628591735558,30.584574322317,0,0
17.06,0.935136626128241,0.935136626056169,0.935136626162705,119.436383706033,119.436383706033,48.0996465648082,30.6317686483958,67.0807677463581,21.7238473112794,0,1,0.99973254053736,0,0,0.20573763294425,29.3176126945557,0,0
17.07,0.935035320486079,0.935035320414026,0.935035320520752,117.298701757382,117.298701757382,47.3941578829904,28.5126334790343,67.066835555474,21.7192327228735,0,1,1.00008305581239,0,0,0.193939491390463,27.636377523141,0,0
17.08,0.934953155877301,0.934953155805149,0.934953155912292,117.855617501837,117.855617501837,47.5747342550556,29.085436014361,67.0546568104079,21.7155246770676,0,1,0.999935110696162,0,0,0.202918574342435,28.915896843797,0,0
17.09,0.934867915896269,0.934867915823939,0.934867915931329,117.588985466115,117.588985466115,47.4845292525669,28.8353357155711,67.0420662296896,21.711583520854,0,1,0.999991967546452,0,0,0.19461147504358,27.7321351937102,0,0
17.1,0.93480736741973,0.934807367347263,0.934807367454968,118.477901656747,118.477901656747,47.7746568441516,29.7372440200371,67.0317893570639,21.7088682796463,0,1,0.999793216992002,0,0,0.216171252297822,30.8044034524396,0,0
17.11,0.934613557508149,0.934613557435469,0.934613557543226,118.968198105036,118.968198105036,47.9310310151452,30.2590626711857,67.0093959032443,21.6997395306055,0,1,0.999782378952229,0,0,0.207754671858307,29.6050407398088,0,0
17.12,0.934463062343488,0.934463062270906,0.934463062379156,117.441785957144,117.441785957144,47.4254283847624,28.7581851680388,66.9909135440395,21.6926872450661,0,1,1.00010312043695,0,0,0.184484419097446,26.2890297213861,0,0
17.13,0.934351201539258,0.934351201465989,0.934351201574248,115.842958441564,115.842958441564,46.8968905575668,27.1790007687843,66.9762459878819,21.6877116848974,0,1,1.00028426620217,0,0,0.18573938893024,26.4678629225592,0,0
17.14,0.934224343308575,0.934224343235901,0.934224343344717,116.999830346226,116.999830346226,47.2737964782391,28.3576310376921,66.9602089090047,21.681990399529,0,1,0.999999453391532,0,0,0.190546413107456,27.1528638678125,0,0
17.15,0.934115154083476,0.934115154010537,0.934115154119209,116.330644012137,116.330644012137,47.0508598615949,27.7078013299911,66.9457330558824,21.6771096262633,0,1,1.00004821478561,0,0,0.203453890031988,28.9921793295583,0,0
17.16,0.933991997893969,0.933991997820912,0.9339919979303,115.900033048453,115.900033048453,46.9060215645055,27.2987087534836,66.9298583415279,21.6714659534416,0,1,1.00012151794149,0,0,0.186402259238985,26.5623219415553,0,0
17.17,0.933917373774714,0.9339173737018,0.933917373810975,115.317721599322,115.317721599322,46.7123345224617,26.7310436221887,66.9184643519816,21.6682136251514,0,1,1.00015184040676,0,0,0.186375730882672,26.5585416507808,0,0
17.18,0.933811744063655,0.933811743989823,0.93381174409945,116.394403865205,116.394403865205,47.0632734092865,27.8268500140877,66.90416087819,21.6633929729274,0,1,0.999952740921447,0,0,0.173746317254471,24.7588502087621,0,0
17.19,0.933726498396378,0.933726498323064,0.933726498432679,114.908933583609,114.908933583609,46.5725152557432,26.3574952777782,66.8917957956517,21.6596425101794,0,1,1.00015877346411,0,0,0.167525100022228,23.8723267531675,0,0
17.2,0.933697262542732,0.933697262469208,0.93369726257925,114.617799985518,114.617799985518,46.4754697885909,26.0746570454973,66.8845423033264,21.6586006366941,0,1,1.00009823371058,0,0,0.180189405455196,25.6769902773655,0,0
17.21,0.933649977314865,0.933649977241676,0.933649977351917,115.583392119885,115.583392119885,46.7910624138295,27.051460460851,66.8754136712549,21.656517987779,0,1,0.9999260416614,0,0,0.168609607642826,24.0268690891027,0,0
17.22,0.933623075576486,0.933623075502886,0.933623075613134,115.297433380202,115.297433380202,46.6957343422985,26.7736898796622,66.8682386658601,21.6555048346797,0,1,0.999914342149505,0,0,0.187447922346613,26.7113289343924,0,0
17.23,0.933608151514636,0.933608151441546,0.933608151551908,114.242807996953,114.242807996953,46.3479513919525,25.7259481183387,66.8619340050963,21.6549258735179,0,1,1.00011399334816,0,0,0.169130463350447,24.1010910274387,0,0
17.24,0.933594659069927,0.933594658996986,0.933594659107274,113.833082824639,113.833082824639,46.2122209002379,25.3225241335393,66.8559839111387,21.6545747799608,0,1,1.00010648872125,0,0,0.172985436772209,24.6504247400398,0,0
17.25,0.93358594236793,0.933585942294941,0.933585942405478,116.271174409243,116.271174409243,47.0125671418683,27.7666329045404,66.8502577975781,21.6542837071249,0,1,0.999668320033676,0,0,0.181702911313803,25.892664862217,0,0
17.26,0.933590993801896,0.933590993728958,0.93359099383938,115.010277329196,115.010277329196,46.5973652230541,26.5100495712091,66.8456381868892,21.6545895710981,0,1,0.99992588793977,0,0,0.180292744828987,25.6917161381307,0,0
17.27,0.933586137986098,0.933586137912993,0.933586138023592,118.405518323068,118.405518323068,47.7123391434287,29.9111332473102,66.8400560669273,21.6543290088303,0,1,0.999372890638898,0,0,0.201355081812136,28.6930991582294,0,0
17.28,0.933572235287145,0.933572235214407,0.933572235324957,116.729349680885,116.729349680885,47.160177067399,28.2424661173008,66.8333930596165,21.6534905039679,0,1,0.999819478646063,0,0,0.183948052975085,26.2125975489497,0,0
17.29,0.933583411149734,0.933583411076561,0.933583411187319,117.246073598741,117.246073598741,47.3293472590385,28.7628655808354,66.8292223290786,21.653985688827,0,1,0.999751951507747,0,0,0.194844713874791,27.7653717271577,0,0
17.3,0.933587633547708,0.933587633475063,0.933587633585785,116.554807736316,116.554807736316,47.1013237950186,28.0762683538507,66.8243992800447,21.6541401024206,0,1,0.999909050854834,0,0,0.197197520137411,28.1006466195811,0,0
17.31,0.933608937135015,0.933608937062535,0.933608937173128,117.328586697987,117.328586697987,47.3551631810072,28.8525151503479,66.8210363450127,21.6550352026263,0,1,0.999820595740561,0,0,0.194079322914355,27.6563035152956,0,0
17.32,0.933628395073979,0.93362839500164,0.933628395112327,118.411169879937,118.411169879937,47.7104682855002,29.9377931350384,66.8175272785525,21.6558494663457,0,1,0.999666756924666,0,0,0.195370495152955,27.8402955592961,0,0
17.33,0.933647868471154,0.933647868399099,0.933647868509658,118.575401846385,118.575401846385,47.7638960945406,30.1049287597117,66.813895028433,21.6565780582404,0,1,0.999720086805531,0,0,0.197772155302154,28.1825321305569,0,0
17.34,0.933667096518606,0.933667096446502,0.933667096557119,116.27653489952,116.27653489952,47.007773579124,27.8087402363557,66.8103818000692,21.6574128630956,0,1,1.00015315235414,0,0,0.189333546593783,26.9800303896141,0,0
17.35,0.933699915694443,0.933699915622641,0.933699915733092,116.552418384257,116.552418384257,47.0982421725315,28.0851868949218,66.8082497622608,21.658981727074,0,1,1.00006092398782,0,0,0.1914851486055,27.2866336762837,0,0
17.36,0.933732415330588,0.9337324152586,0.93373241536906,116.837145531801,116.837145531801,47.1915957325497,28.3706284801915,66.8060263303624,21.6604907212475,0,1,1.00000009762854,0,0,0.190038905476603,27.0805440304159,0,0
17.37,0.93374201011442,0.933742010042684,0.933742010153012,117.127867442916,117.127867442916,47.2864602349985,28.6651811730194,66.8017630263556,21.6609232435414,0,1,0.999947145343345,0,0,0.191164469194243,27.2409368601796,0,0
17.38,0.933738491761683,0.933738491689848,0.933738491800162,115.936134222146,115.936134222146,46.8937969032642,27.4790968628124,66.7963044057798,21.6607329535538,0,1,1.00017656325542,0,0,0.170372658293765,24.2781038068615,0,0
