t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
23.75,0.945401921742172,0.945401921691709,0.945401921777223,117.325605953257,117.325605953257,47.1228603612572,29.9317424536408,65.1835811560167,22.2102823435998,0,1,0.999682949625436,0,0,0.196155195178288,27.9521153129061,0,0
23.76,0.946017461448941,0.946017461400421,0.946017461483969,117.663858790403,117.663858790403,47.2449731933497,30.1929096339049,65.2317657151617,22.2391834413368,0,1,0.999694961268254,0,0,0.208425022858497,29.7005657573358,0,0
23.77,0.946581275055657,0.946581275008505,0.946581275090279,117.270489246875,117.270489246875,47.1255954590402,29.7295431564772,65.2753849286538,22.2655611617443,0,1,0.999886395134301,0,0,0.190162536573485,27.0981614617215,0,0
23.78,0.947120899746616,0.947120899700854,0.947120899781283,117.410159657135,117.410159657135,47.1810120507977,29.8020324816244,65.3171600057851,22.2909671697258,0,1,0.999884019328661,0,0,0.196208149989657,27.9596613735262,0,0
23.79,0.947623015529991,0.947623015485737,0.947623015564391,115.539385731605,115.539385731605,46.574920751269,27.8689814186524,65.3557481475119,22.314656165441,0,1,1.0002308372562,0,0,0.181292542577614,25.83418731731,0,0
23.8,0.948089402454662,0.948089402410634,0.948089402488272,116.450605609224,116.450605609224,46.8825815149638,28.7224059189509,65.391433617084,22.3367660731886,0,1,1.00001942407798,0,0,0.185696815936507,26.4617962709523,0,0
23.81,0.948541309278778,0.948541309235421,0.948541309312551,116.385600396553,116.385600396553,46.8690888622149,28.6015735304446,65.4258431558133,22.3581837102947,0,1,1.000006627682,0,0,0.192269720215127,27.3984351306556,0,0
23.82,0.948949196802475,0.948949196760218,0.948949196835852,114.589425750452,114.589425750452,46.2857605081191,26.7553170767428,65.4565179682926,22.3775907054167,0,1,1.00028559574875,0,0,0.186622426939108,26.5936958388229,0,0
23.83,0.949324056094963,0.949324056053548,0.949324056128399,115.146412498583,115.146412498583,46.4752691932667,27.2664610397159,65.4844505649729,22.3955008938941,0,1,1.00011144279861,0,0,0.192418965075406,27.4197025232453,0,0
23.84,0.949673437701113,0.949673437659701,0.949673437733913,115.020589948948,115.020589948948,46.4398309731928,27.0984060600814,65.5100586072049,22.4121252816614,0,1,1.00011990189059,0,0,0.183111008185289,26.0933186664036,0,0
23.85,0.949978752223343,0.949978752182998,0.949978752256105,115.005529037212,115.005529037212,46.4399646651644,27.0469083268035,65.5319123275023,22.4267083829065,0,1,1.00009028767068,0,0,0.179458101388955,25.5727794479261,0,0
23.86,0.95026935454876,0.9502693545083,0.950269354581061,114.759225429991,114.759225429991,46.3638148252924,26.7660938576211,65.552513680617,22.4406178917527,0,1,1.00009806364403,0,0,0.176830413137944,25.1983338721571,0,0
23.87,0.950551500015058,0.950551499975132,0.950551500047091,112.118961705899,112.118961705899,45.5006802613164,24.0921835936665,65.5725166125549,22.4542614996778,0,1,1.00048220485507,0,0,0.163648834665377,23.3199589398162,0,0
23.88,0.950810932588352,0.950810932548946,0.950810932620299,114.944536803467,114.944536803467,46.4336429593479,26.8871695855195,65.5905709616549,22.466796256293,0,1,0.999895446386938,0,0,0.171465059612807,24.433770994825,0,0
23.89,0.951016399954663,0.951016399915513,0.951016399986343,114.791438291135,114.791438291135,46.3864720799304,26.7110816216169,65.6037230185491,22.4766336509695,0,1,0.999937757336361,0,0,0.166507546281846,23.7273253451631,0,0
23.9,0.951216415171234,0.951216415132463,0.951216415203048,114.389570230395,114.389570230395,46.2574476247861,26.286818479565,65.6164760445396,22.4862757062904,0,1,0.999987143640931,0,0,0.169292250587145,24.1241457086681,0,0
23.91,0.951392667230502,0.951392667191715,0.951392667261943,114.42562900169,114.42562900169,46.2719252069154,26.303519895124,65.6272539671643,22.4948551394015,0,1,0.999921026293977,0,0,0.190724928413856,27.1783022989745,0,0
23.92,0.951539207829923,0.951539207791624,0.951539207861377,114.806496549795,114.806496549795,46.3991181368,26.6693472667077,65.6352680968648,22.5018811862222,0,1,0.999871217439689,0,0,0.195490965642763,27.8574626040937,0,0
23.93,0.951660821706589,0.951660821667886,0.951660821737582,117.039718748204,117.039718748204,47.1346146786781,28.8912881186361,65.6408978303145,22.5075327992536,0,1,0.999574668774757,0,0,0.193890683977189,27.6294224667494,0,0
23.94,0.951768770388905,0.951768770350617,0.951768770419567,117.41518681005,117.41518681005,47.2592078620935,29.2574918984172,65.6452314925834,22.5124634190497,0,1,0.999636515317806,0,0,0.19046125742853,27.1407291835655,0,0
23.95,0.951838302521991,0.951838302483513,0.95183830255294,116.412878747426,116.412878747426,46.930238621311,28.25084671351,65.646361004375,22.5156710295412,0,1,0.999877052120851,0,0,0.191442299720249,27.2805277101355,0,0
23.96,0.951897586040079,0.951897586001658,0.951897586070261,114.567796939724,114.567796939724,46.3240955423904,26.4025810912648,65.6467246300464,22.5184912184129,0,1,1.00021208731688,0,0,0.178381549840776,25.4193708523106,0,0
23.97,0.951961591433597,0.951961591395331,0.951961591463936,117.046372527083,117.046372527083,47.1391734393711,28.8772627889491,65.6475657892422,22.5215439488919,0,1,0.99974910153585,0,0,0.191560766744143,27.2974092610404,0,0
23.98,0.951990043506191,0.951990043468008,0.951990043536079,116.294222964215,116.294222964215,46.8916422378587,28.1262445529065,65.6451636319593,22.5228147793497,0,1,0.999930259476579,0,0,0.189431731997912,26.9940218097025,0,0
