t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
171.17,0.986833929208157,0.986833929388212,0.986833929400027,102.940781452617,102.940781452617,38.6538027426222,54.5064996596688,33.8949442104926,14.5393375824551,0,1,1.00088418071431,0,0,0.613170209976924,53.3458082679924,0,0
171.18,0.986407177270225,0.986407177454443,0.986407177465702,101.847288190478,101.847288190478,38.2900033816822,53.4464211408172,33.8744122665458,14.5264547831148,0,1,1.00124160661699,0,0,0.587469884857565,51.1098799826081,0,0
171.19,0.985980410556105,0.985980410745204,0.985980410754891,103.333374295706,103.333374295706,38.7740925376948,54.9657671407401,33.8539843613257,14.5136227936405,0,1,1.00060480495467,0,0,0.59060175157949,51.3823523874157,0,0
171.2,0.985540376135439,0.985540376329381,0.985540376338666,102.594688270255,102.594688270255,38.5268024602576,54.2613256208035,33.8329351568144,14.5004274926373,0,1,1.0008095356588,0,0,0.599752217297265,52.1784429048621,0,0
171.21,0.985083390507369,0.985083390703738,0.985083390713553,102.894333938383,102.894333938383,38.6206318134083,54.596471624934,33.8111212624809,14.4867410509683,0,1,1.00065646135584,0,0,0.598852033073303,52.1001268773774,0,0
171.22,0.984609250836834,0.984609251037382,0.984609251047066,104.424615838024,104.424615838024,39.1187835982877,56.1635513702147,33.7885232495957,14.4725412182141,0,1,1.00009140875757,0,0,0.62143051193156,54.0644545380457,0,0
171.23,0.984117690704632,0.984117690909833,0.984117690918603,103.596735932732,103.596735932732,38.8416595969684,55.3738825648036,33.7650571719549,14.4577961959739,0,1,1.00049207838835,0,0,0.605460111053124,52.6750296616218,0,0
171.24,0.983619939489305,0.983619939697523,0.98361993970764,103.01127662485,103.01127662485,38.644177034909,54.826899586937,33.7414071813312,14.4429698565816,0,1,1.00067027581548,0,0,0.611872847192205,53.2329377057218,0,0
171.25,0.98310771174781,0.98310771196194,0.983107711969507,102.338991710258,102.338991710258,38.4180182006127,54.1941352747855,33.7171097239627,14.4277467115094,0,1,1.00087380959315,0,0,0.598534440968081,52.072496364223,0,0
171.26,0.98258243095667,0.982582431174172,0.982582431182542,103.986108880653,103.986108880653,38.9540908689883,55.881694542428,33.6922574388315,14.4121568993939,0,1,1.00021585162481,0,0,0.61369018386034,53.3910459958496,0,0
171.27,0.982234183732621,0.98223418394943,0.982234183969505,103.768720468965,103.768720468965,38.879116426547,55.6912008549162,33.6757782373946,14.4017413766538,0,1,1.00033040047777,0,0,0.620741897799346,54.0045451085431,0,0
171.28,0.981980885239625,0.98198088546177,0.981980885467152,104.028218266165,104.028218266165,38.9618494568816,55.9703059715709,33.6638133374403,14.3940989571541,0,1,1.00030079038654,0,0,0.610298765331116,53.0959925838071,0,0
171.29,0.981751820502276,0.981751820723155,0.981751820731078,102.612296553124,102.612296553124,38.4941556938801,54.5720117867606,33.653047700631,14.3872370657323,0,1,1.00081231619095,0,0,0.594630706384653,51.7328714554648,0,0
171.3,0.981516613744261,0.981516613966769,0.981516613973219,104.683653209175,104.683653209175,39.1726314152084,56.6613443000891,33.6420816043426,14.3802273047436,0,1,0.999986991137662,0,0,0.626498128930927,54.5053372169907,0,0
171.31,0.981256729322997,0.981256729545353,0.981256729550993,103.631923151691,103.631923151691,38.8243286422221,55.6296429780474,33.6298538021775,14.372426371466,0,1,1.00045774311136,0,0,0.609892572573033,53.0606538138538,0,0
171.32,0.980993392949734,0.980993393173892,0.980993393176679,103.48578692462,103.48578692462,38.7736677472194,55.5036089398681,33.6175642948844,14.3646136898673,0,1,1.0004611421738,0,0,0.625452778880487,54.4143917626024,0,0
171.33,0.980720954487062,0.980720954712914,0.980720954715505,102.284814940175,102.284814940175,38.376203827641,54.3234616365134,33.6048283280375,14.3565249756241,0,1,1.00089672192939,0,0,0.593576921168742,51.6411921416805,0,0
171.34,0.980458085211103,0.980458085438358,0.980458085442491,102.280929631483,102.280929631483,38.3723222178063,54.3394762295465,33.5926460271206,14.3488073748155,0,1,1.00076413065345,0,0,0.591214520926946,51.4356633206443,0,0
171.35,0.980166812297874,0.980166812526414,0.980166812528014,103.454254154414,103.454254154414,38.7550831538694,55.5349001610938,33.5791189834178,14.3402350099023,0,1,1.00024976843826,0,0,0.601669904862819,52.3452817230653,0,0
171.36,0.979858259721006,0.97985825995149,0.979858259954804,102.786038219817,102.786038219817,38.5323769583269,54.8901593274557,33.5647378832075,14.3311410091541,0,1,1.00046870848571,0,0,0.599612151921328,52.1662572171555,0,0
171.37,0.979533359312864,0.979533359545623,0.979533359548192,103.293770145396,103.293770145396,38.6960282906924,55.4225688087994,33.5496180754431,14.3215832611533,0,1,1.00023537844324,0,0,0.609796642512845,53.0523078986175,0,0
171.38,0.979174794356983,0.979174794590501,0.979174794590882,103.129132821549,103.129132821549,38.6383372657563,55.2852342251088,33.532881297855,14.3110172985854,0,1,1.00030166298679,0,0,0.604819650273206,52.6193095737689,0,0
171.39,0.978828341428506,0.978828341665743,0.978828341668761,102.734198534244,102.734198534244,38.5050823545458,54.9165941165673,33.5167564200897,14.3008479975875,0,1,1.00040018747948,0,0,0.612557156654416,53.2924726289342,0,0
171.4,0.978465614612727,0.978465614851033,0.978465614853485,102.463085730899,102.463085730899,38.4123610333093,54.6730286504774,33.499861321667,14.2901957587546,0,1,1.0004750753571,0,0,0.601324723391384,52.3152509350504,0,0
171.41,0.978097056478011,0.97809705671714,0.97809705671766,101.447010341049,101.447010341049,38.0747358722049,53.6848228840233,33.4827430927359,14.2794443642902,0,1,1.00073404031415,0,0,0.60630504464327,52.7485388839645,0,0
