t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
60.08,0.989783433987694,0.989783434275949,0.989783434295093,81.9111999666969,81.9111999666969,32.651582961275,28.7678164241993,38.5136016771279,14.6297818653697,0,1,0.999917472634347,0,0,0.306877119983075,26.6983094385275,0,0
60.09,0.989489875314743,0.989489875608484,0.989489875626174,82.5053784871246,82.5053784871246,32.8433131968544,29.3861587961502,38.4973560252736,14.6218636657008,0,1,0.999399102810892,0,0,0.322175379499322,28.029258016441,0,0
60.1,0.989189778382337,0.989189778680238,0.989189778698813,81.5328910848384,81.5328910848384,32.5199863333225,28.4386634054729,38.4805750793495,14.613652600016,0,1,0.999584897090138,0,0,0.301510936152511,26.2314514452685,0,0
60.11,0.988886857741341,0.988886858040274,0.988886858058507,81.500946500022,81.500946500022,32.505765608908,28.4319388610009,38.4636286655007,14.6053789735204,0,1,0.999340857022393,0,0,0.325963322984088,28.3588090996157,0,0
60.12,0.988586623878863,0.988586624183494,0.988586624199753,81.366067499603,81.366067499603,32.4577030655245,28.3223619419697,38.4466476756514,14.5970578819819,0,1,0.999297079814102,0,0,0.30381196520291,26.4316409726531,0,0
60.13,0.988308429471668,0.988308429779609,0.988308429795789,81.8373370822392,81.8373370822392,32.609124989974,28.8171695580436,38.4308027710773,14.5893647531183,0,1,0.999015272193344,0,0,0.303246297094061,26.3824278471833,0,0
60.14,0.988040777579788,0.9880407778909,0.988040777907604,81.8034028170631,81.8034028170631,32.5946022602553,28.8060198551401,38.4154408675632,14.5819420943598,0,1,0.998944159575715,0,0,0.316545891693964,27.5394925773749,0,0
60.15,0.98776973643365,0.987769736745927,0.987769736761339,81.2770272041211,81.2770272041211,32.4181637419777,28.3028304262303,38.3998157163263,14.5743810615645,0,1,0.999074311757151,0,0,0.329991654588498,28.7092739491993,0,0
60.16,0.987506300285001,0.987506300600823,0.987506300615148,82.5134432150631,82.5134432150631,32.8211874609433,29.5620450807104,38.3844736111835,14.5669245231692,0,1,0.998684720501163,0,0,0.310181733292841,26.9858107964772,0,0
60.17,0.987265876641915,0.987265876959867,0.987265876973631,82.0534504850835,82.0534504850835,32.6669011070992,29.122931983129,38.370348987348,14.5601695146066,0,1,0.998849217785705,0,0,0.329942370566759,28.7049862393081,0,0
60.18,0.987029214607041,0.987029214927421,0.98702921494055,81.0196244879579,81.0196244879579,32.3240344416142,28.1097804435589,38.3563567594596,14.5534872849394,0,1,0.999250272666213,0,0,0.317977659143424,27.6640563454779,0,0
60.19,0.98678262380562,0.98678262412766,0.986782624139601,83.1715348987394,83.1715348987394,33.0281444450569,30.28325291217,38.341812422784,14.5464695637854,0,1,0.998479614967234,0,0,0.335485634996583,29.1872502447027,0,0
60.2,0.986557619376215,0.986557619700028,0.986557619712114,82.0950847032554,82.0950847032554,32.6713757311282,29.2267436082809,38.3283092879228,14.5400318070517,0,1,0.998973411276323,0,0,0.337099179499829,29.3276286164851,0,0
60.21,0.986350088646737,0.9863500889723,0.986350088983987,81.9541288324247,81.9541288324247,32.6222963044679,29.1042913342475,38.3157386987514,14.5340987994257,0,1,0.99909371560268,0,0,0.324448397609662,28.2270105920406,0,0
60.22,0.986166247466643,0.986166247794032,0.986166247804599,81.3739045765695,81.3739045765695,32.4291237386421,28.5405563087524,38.3044554650401,14.528892802777,0,1,0.999305372896733,0,0,0.32347521228065,28.1423434684166,0,0
60.23,0.985981129885614,0.985981130213818,0.985981130224046,82.9176899130711,82.9176899130711,32.934056002997,30.1010140856665,38.2930733032835,14.523602524121,0,1,0.99876627733119,0,0,0.336755134672298,29.29769671649,0,0
60.24,0.985812853820635,0.985812854149801,0.985812854159031,82.1261208443042,82.1261208443042,32.6715734557925,29.3248712329724,38.2824959720044,14.5187536393273,0,1,0.999162693223404,0,0,0.32401958786132,28.1897041439348,0,0
60.25,0.985642879362637,0.985642879692847,0.985642879702358,81.7833378459366,81.7833378459366,32.5565887643073,28.9975805094618,38.2718652789716,14.5138920575032,0,1,0.999304501966916,0,0,0.321993597671269,28.0134429974004,0,0
60.26,0.985494233339679,0.985494233672719,0.985494233680793,81.565821629302,81.565821629302,32.4830260792369,28.7938287536326,38.2623544641455,14.5096384115238,0,1,0.999415723287089,0,0,0.297886415754484,25.9161181706402,0,0
60.27,0.985385747512516,0.985385747845379,0.985385747854101,80.005601178152,80.005601178152,31.9686355844721,27.2438719581249,38.2550700956688,14.5066591243583,0,1,0.999878315811407,0,0,0.298097166518767,25.9344534871327,0,0
60.28,0.985285191964797,0.985285192298487,0.985285192306257,80.3514466785001,80.3514466785001,32.0808426625657,27.5992551681908,38.2482524635867,14.5039390467226,0,1,0.999586461025097,0,0,0.327439207815638,28.4872110799605,0,0
60.29,0.985157055876678,0.985157056210894,0.985157056218312,81.2871795918739,81.2871795918739,32.3865682849838,28.5471272969869,38.2397917695399,14.5002605253471,0,1,0.999296468334116,0,0,0.299521080654127,26.058334016909,0,0
60.3,0.98507696713026,0.985076967465629,0.985076967473079,88.9616675897125,88.9616675897125,34.9078312651498,36.2294811550557,38.2341041564767,14.4980822781801,0,1,0.996308095812997,0,0,0.608426620523655,52.933115985558,0,0
60.31,0.984687659230509,0.984687659575262,0.984687659593611,108.247033637223,108.247033637223,41.2413887438881,55.5511432031026,38.2105029474755,14.4853874866446,0,1,0.991035711259235,0,0,0.598771893580716,52.0931547415223,0,0
60.32,0.984335659669643,0.984335660004803,0.984335660014309,108.268624214552,108.268624214552,41.2436120097627,55.6064965973777,38.1885294236814,14.4735981934929,0,1,0.993106431344489,0,0,0.608706638500307,52.9574775495267,0,0
60.33,0.983991614284733,0.983991614622771,0.983991614631094,108.612434763358,108.612434763358,41.3518892119103,55.983072403655,38.1672141326271,14.4621482270761,0,1,0.994656171196516,0,0,0.612482497906883,53.2859773178989,0,0
60.34,0.983648418031366,0.983648418368006,0.983648418378769,109.519064300956,109.519064300956,41.6452098781008,56.922110456935,38.1461465100341,14.4508073339867,0,1,0.995694121531338,0,0,0.618608418975532,53.8189324508713,0,0
60.35,0.983340107427542,0.983340107762947,0.983340107772134,108.13578604478,108.13578604478,41.1863378054056,55.5679988313327,38.1271588781832,14.4406283352646,0,1,0.997270229236902,0,0,0.620291081170049,53.9653240617943,0,0
60.36,0.983038794374657,0.983038794714559,0.983038794723955,108.353942199015,108.353942199015,41.2539597555425,55.8144452100755,38.1087515640306,14.4307454249086,0,1,0.998034730188221,0,0,0.595494173463579,51.8079930913313,0,0
60.37,0.982775655626983,0.982775655964839,0.9827756559772,107.360203074528,107.360203074528,40.9237652508638,54.8453859138032,38.0926471765992,14.4221699841262,0,1,0.998936515601365,0,0,0.608561976214884,52.9448919306949,0,0
60.38,0.982524669947558,0.982524670283422,0.982524670294695,107.784729494152,107.784729494152,41.0599107041925,55.2933616930848,38.0773503630026,14.4140174380644,0,1,0.999204540153257,0,0,0.618517585619967,53.8110299489371,0,0
60.39,0.982279986762506,0.982279987099194,0.98227998710977,109.809064646579,109.809064646579,41.7219768491637,57.3405609870793,38.0624651348632,14.4060385246364,0,1,0.998899740646419,0,0,0.630104771966102,54.8191151610509,0,0
60.4,0.982071423768114,0.982071424109178,0.982071424119639,107.637362481926,107.637362481926,41.005318891581,55.1885948742312,38.0495827753393,14.3991848323552,0,1,1.00008403682845,0,0,0.606718828849216,52.7845381098818,0,0
60.41,0.981904382674978,0.981904383013946,0.981904383027388,108.260151251305,108.260151251305,41.2077186690151,55.8272611608713,38.0391847799657,14.3937053104682,0,1,1.00000234833977,0,0,0.632008846368613,54.9847696340694,0,0
60.42,0.981713440535003,0.981713440872922,0.981713440884851,108.731304405717,108.731304405717,41.3599930654952,56.3163021234077,38.0275123187843,14.3874899635247,0,1,1.00006862064355,0,0,0.620411590608295,53.9758083829216,0,0
60.43,0.981562071632833,0.9815620719735,0.981562071985101,107.305469120566,107.305469120566,40.8892602892391,54.9048302737758,38.0180932396779,14.3825456071121,0,1,1.0007126981951,0,0,0.610716728335831,53.1323553652173,0,0
60.44,0.981416927289158,0.981416927633794,0.981416927646385,109.08416291107,109.08416291107,41.47190364512,56.6972254458406,38.0091241635013,14.3778133017282,0,1,1.00015004088386,0,0,0.610087317597596,53.0775966309909,0,0
60.45,0.981292048082257,0.981292048423271,0.981292048435951,108.330265861998,108.330265861998,41.2223750082134,55.9552756487796,38.001277439183,14.3737127740352,0,1,1.00051913798678,0,0,0.608802656859521,52.9658311467783,0,0
60.46,0.981195508835249,0.981195509173963,0.981195509186538,108.774406776904,108.774406776904,41.3669861854481,56.408831830427,37.9950672364916,14.3705077099859,0,1,1.00037821105151,0,0,0.630746018408847,54.8749036015697,0,0
60.47,0.981082434755448,0.981082435096062,0.981082435108613,109.601676780928,109.601676780928,41.6373251128518,57.2469391473701,37.987962577313,14.3667750562454,0,1,1.0001969310692,0,0,0.630709434148494,54.8717207709189,0,0
60.48,0.980989858671659,0.98098985901188,0.980989859025827,108.392507928344,108.392507928344,41.2385710763108,56.0468442532018,37.9819892391252,14.3636744360173,0,1,1.00076122729139,0,0,0.59698810831808,51.937965423673,0,0
60.49,0.980925886264197,0.980925886603253,0.98092588661576,108.158751800282,108.158751800282,41.1608021023546,55.8194772726414,37.9777284249497,14.3615461026905,0,1,1.00078451428102,0,0,0.601139647117337,52.2991492992083,0,0
60.5,0.98088255553311,0.980882555874558,0.980882555886785,107.850415235187,107.850415235187,41.0587826460492,55.5156910434523,37.9746474712854,14.3600767204492,0,1,1.00079825874773,0,0,0.623256070385165,54.2232781235093,0,0
