t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW,label,attack_type
53.6,0.941675716289869,0.941675716211858,0.941675716322438,106.435381449311,106.435381449311,41.6510032506489,30.0220433112359,54.3650092848208,22.0483288532548,0,1,0.999443360525471,0,0,0.202349945732663,28.8348672669045,0,0
53.61,0.941486949939726,0.941486949861652,0.941486949972136,104.636090152435,104.636090152435,41.0562592297574,28.2482027707499,54.348541860737,22.0393455209481,0,1,0.999886503991014,0,0,0.183652877917212,26.1705351032027,0,0
53.62,0.941293022754564,0.941293022676384,0.941293022787041,105.495925461377,105.495925461377,41.3354808070247,29.1338596874883,54.3318473462584,22.0302184276307,0,1,0.999769396400689,0,0,0.18182005864997,25.9093583576208,0,0
53.63,0.941121492492206,0.941121492414177,0.941121492524575,106.54085158477,106.54085158477,41.6758828996513,30.2018840361873,54.3167973767562,22.0221701718262,0,1,0.999593352843288,0,0,0.209030581874645,29.7868579171369,0,0
53.64,0.940902509587419,0.940902509509783,0.940902509620364,106.352015046828,106.352015046828,41.6100060442623,30.0422012530694,54.2981228482307,22.0116909455278,0,1,0.999747061008814,0,0,0.198447703840452,28.2787977972645,0,0
53.65,0.940716281353025,0.940716281275317,0.940716281385829,104.442515068195,104.442515068195,40.9791102715477,28.1575751193849,54.2819919000398,22.0029480487702,0,1,1.00009415809784,0,0,0.196375684919167,27.9835351009813,0,0
53.66,0.940533070687993,0.940533070610514,0.940533070720778,104.380810416146,104.380810416146,40.9556205825784,28.1202277147166,54.2661706691613,21.9944120322683,0,1,1.00006838296493,0,0,0.196878399218836,28.0551718886842,0,0
53.67,0.940821212078507,0.940821212004777,0.940821212110079,105.3060157285,105.3060157285,41.2635743285311,29.0139261878759,54.2841444946958,22.007945045928,0,1,0.99988412585298,0,0,0.20976102777076,29.8909464573333,0,0
53.68,0.941357391135651,0.941357391063565,0.941357391171648,103.910950877303,103.910950877303,40.8125798715326,27.5581782780154,54.3197682158012,22.0330043834865,0,1,1.00018140800419,0,0,0.188063546325561,26.7990553513924,0,0
53.69,0.941985898819358,0.941985898750016,0.941985898850868,104.786267498855,104.786267498855,41.1092446558561,28.3615559771155,54.3621898163858,22.0625217053537,0,1,1.00000862874891,0,0,0.185182074905454,26.3884456740271,0,0
