7.106 09-16-2026 12:08:51 RAM 1767/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.718C/44.75C soc2@44.437C/44.531C soc0@44.843C/45.125C gpu@44.562C/44.937C tj@45.031C/45.125C soc1@43.875C/43.937C VDD_IN 3536mW/3628mW/3818mW VDD_CPU_GPU_CV 482mW/533mW/601mW VDD_SOC 1085mW/1119mW/1125mW
7.613 09-16-2026 12:08:52 RAM 1765/7486MB (lfb 13x4MB) CPU [0%@729,4%@729,3%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.406C/44.531C soc0@45C/45.125C gpu@44.593C/44.937C tj@45C/45.125C soc1@43.875C/43.937C VDD_IN 3577mW/3625mW/3818mW VDD_CPU_GPU_CV 522mW/533mW/601mW VDD_SOC 1085mW/1117mW/1125mW
8.120 09-16-2026 12:08:52 RAM 1765/7486MB (lfb 13x4MB) CPU [16%@729,11%@729,7%@729,9%@729,2%@729,1%@729] GR3D_FREQ 0% cpu@44.718C/44.75C soc2@44.406C/44.531C soc0@44.843C/45.125C gpu@44.5C/44.937C tj@44.843C/45.125C soc1@43.781C/43.937C VDD_IN 3697mW/3630mW/3818mW VDD_CPU_GPU_CV 562mW/534mW/601mW VDD_SOC 1125mW/1117mW/1125mW
8.626 09-16-2026 12:08:53 RAM 1759/7486MB (lfb 13x4MB) CPU [2%@729,0%@729,5%@729,0%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.406C/44.531C soc0@44.937C/45.125C gpu@44.625C/44.937C tj@44.937C/45.125C soc1@43.718C/43.937C VDD_IN 3617mW/3629mW/3818mW VDD_CPU_GPU_CV 522mW/534mW/601mW VDD_SOC 1125mW/1118mW/1125mW
9.132 09-16-2026 12:08:53 RAM 1759/7486MB (lfb 13x4MB) CPU [4%@729,3%@729,7%@729,0%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@44.5C/44.75C soc2@44.312C/44.531C soc0@45C/45.125C gpu@44.5C/44.937C tj@45C/45.125C soc1@43.656C/43.937C VDD_IN 3577mW/3626mW/3818mW VDD_CPU_GPU_CV 522mW/533mW/601mW VDD_SOC 1125mW/1118mW/1125mW
9.638 09-16-2026 12:08:54 RAM 1757/7486MB (lfb 13x4MB) CPU [1%@729,0%@729,0%@729,3%@729,3%@729,0%@729] GR3D_FREQ 0% cpu@44.437C/44.75C soc2@44.375C/44.531C soc0@45C/45.125C gpu@44.562C/44.937C tj@45C/45.125C soc1@43.875C/43.937C VDD_IN 3577mW/3623mW/3818mW VDD_CPU_GPU_CV 522mW/532mW/601mW VDD_SOC 1085mW/1116mW/1125mW
10.145 09-16-2026 12:08:54 RAM 1756/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.406C/44.531C soc0@44.968C/45.125C gpu@44.937C/44.937C tj@44.968C/45.125C soc1@43.812C/43.937C VDD_IN 3617mW/3623mW/3818mW VDD_CPU_GPU_CV 482mW/530mW/601mW VDD_SOC 1085mW/1115mW/1125mW
10.651 09-16-2026 12:08:55 RAM 1756/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,2%@729,2%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.281C/44.531C soc0@44.875C/45.125C gpu@44.593C/44.937C tj@44.875C/45.125C soc1@43.781C/43.937C VDD_IN 3617mW/3623mW/3818mW VDD_CPU_GPU_CV 522mW/530mW/601mW VDD_SOC 1125mW/1115mW/1125mW
11.157 09-16-2026 12:08:55 RAM 1755/7486MB (lfb 13x4MB) CPU [10%@729,10%@729,6%@729,10%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.343C/44.531C soc0@44.75C/45.125C gpu@44.937C/44.937C tj@44.937C/45.125C soc1@43.781C/43.937C VDD_IN 3737mW/3628mW/3818mW VDD_CPU_GPU_CV 602mW/533mW/602mW VDD_SOC 1125mW/1116mW/1125mW
11.663 09-16-2026 12:08:56 RAM 1755/7486MB (lfb 13x4MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.437C/44.531C soc0@44.812C/45.125C gpu@44.781C/44.937C tj@44.812C/45.125C soc1@43.75C/43.937C VDD_IN 3617mW/3627mW/3818mW VDD_CPU_GPU_CV 522mW/532mW/602mW VDD_SOC 1085mW/1114mW/1125mW
