backend,threads,batch,mean,p50,p99
numpy,1,1,1.1311970780000002,1.125867,1.16163408
numpy,2,1,1.1414816320000003,1.135099,1.1773448
numpy,4,1,1.1479583869999999,1.139067,1.1960673599999998
numpy,6,1,1.133657179,1.129114,1.1574820799999999
